Establishment_id,Name,Category,City,State,Zip,Address_line_1,Address_line_2,Owner,Type,Latitude,Longitude
1,301 BP,Gas Station Store,BRANDYWINE,MD,20613.0,14807 CRAIN HWY,------,Robert Phegley,Food Establishments,38.685163,-76.872392
2,A&D BUFFALO,Fast Food - Chain,WEST HYATTSVILLE,MD,20782.0,3500 EAST WEST HWY,FC 9,DOHYUN KIM,Food Establishments,38.966903,-76.958574
3,A-1 LIQUOR AND RESTAURANT,Full Service,LANHAM-SEABROOK,MD,20706.0,7910 MARTIN LUTHER KING JR HWY,------,PARDEEP KAUR,Food Establishments,38.931458,-76.868849
4,ACAPULCO SPIRIT,Restaurant,WEST HYATTSVILLE,MD,20782.0,3100 HAMILTON ST,------,EDGAR SANTIZO,Food Establishments,38.956102,-76.96319
5,ACCOKEEK ACADEMY I,Public School,ACCOKEEK,MD,20607.0,14400 BERRY RD,------,CLARENCE E STUKES,Food Establishments,38.687531,-76.980676
6,ACCOKEEK ACADEMY II,Public School,ACCOKEEK,MD,20607.0,14600 BERRY RD,------,MARK FOSSETT,Food Establishments,38.685156,-76.979803
7,ACCOKEEK EXXON,Gas Station Store,ACCOKEEK,MD,20607.0,15797 LIVINGSTON RD,------,APPIAH THARMARAJAH,Food Establishments,38.670031,-77.010294
8,ACCOKEEK SEAFOOD RESTAURANT,Restaurant,ACCOKEEK,MD,20607.0,15790 LIVINGSTON RD,------,WOODROW WATKINS,Food Establishments,38.669918,-77.009748
10,HISSHO SUSHI @ GIANT FOOD 310,Specialty Store,BOWIE,MD,20715.0,15520 ANNAPOLIS RD,------,DANIEL BEEM,Food Establishments,38.979432,-76.734892
11,AFRICARIB,Carry-out,FORT WASHINGTON,MD,20744.0,946 EAST SWAN CREEK RD,------,JOCELINE Blay,Food Establishments,38.72495,-76.992488
12,AFTER 12 AFRICAN CARRYOUT,Carry-out,LANDOVER,MD,20785.0,7523 LANDOVER RD,------,RUGIATU SESAY,Food Establishments,38.926636,-76.885982
13,AGAMA KITCHEN AND RESTAURANT,Full Service,BLADENSBURG,MD,20710.0,5640 ANNAPOLIS RD,------,NNAMDI NWASINOKE,Food Establishments,38.939463,-76.918268
14,ALADDIN SIZZLER,Carry-out,MOUNT RAINIER,MD,20712.0,3231 RHODE ISLAND AVE,------,MALIK MAHMOOD,Food Establishments,38.935651,-76.96231
15,ALAMO MEXICAN RESTAURANT,Restaurant,RIVERDALE,MD,20737.0,5508 KENILWORTH AVE,------,VIVIAN SHIH,Food Establishments,38.957312,-76.921605
16,THYME CATERING 2,Carry-out,UPPER MARLBORO,MD,20772.0,14735 MAIN ST,------,RANDALL MCNEELY,Food Establishments,38.816495,-76.751282
18,SUBWAY,Fast Food,TEMPLE HILLS,MD,20748.0,7071 ALLENTOWN RD,------,IQBAL HASSAN,Food Establishments,38.793548,-76.92678
19,SARITA'S CHICKEN & RESTAURANT,Full Service,LAUREL,MD,20707.0,15101 BALTIMORE AVE,------,Victoria Bernabe,Food Establishments,39.097284,-76.847369
20,AL'S DELI SUPREME,Carry-out,UPPER MARLBORO,MD,20772.0,14703 MAIN ST,------,NIKOLAOS DOULAVERIS,Food Establishments,38.816332,-76.751782
21,INTERNATIONAL HIGH SCHOOL @ LANGLEY PARK,Public School,BLADENSBURG,MD,20710.0,5150 ANNAPOLIS RD,------,MARK FOSSETT,Food Establishments,38.93955,-76.930795
22,America's Best Pizza & Wings,Fast Food,LANDOVER,MD,20785.0,7519 LANDOVER RD,------,MOHAMMED FARUQUE,Food Establishments,38.926632,-76.886014
23,AMERICAN BUFFALO WINGS & FISH,Carry-out,TEMPLE HILLS,MD,20748.0,7075 ALLENTOWN RD,------,KYUNG KIM,Food Establishments,38.793545,-76.92675
24,AMERICAN LEGION BELTWAY POST 172,Private Club,GLENARDEN,MD,20706.0,7105 CIPRIANO RD,------,Richard Heflin,Food Establishments,38.988207,-76.854091
25,AMERICAN LEGION COLMAR MANOR POST 131,Private Club,BRENTWOOD,MD,20722.0,4103 LAWRENCE ST,------,DANE WEBER,Food Establishments,38.933654,-76.945023
26,AMERICAN LEGION DISNEY BELL POST 66,Private Club,BOWIE,MD,20720.0,9605 OLD LAUREL BOWIE RD,------,BRIAN FRYE,Food Establishments,39.022335,-76.78572
27,AMERICAN LEGION GREENBELT POST 136,Private Club,GREENBELT,MD,20770.0,6900 GREENBELT RD,------,MIKE MOORE,Food Establishments,38.995804,-76.887955
28,AMERICAN LEGION POST 108,Private Club,LANDOVER,MD,20785.0,3608 LEGION DR,------,JOSEPH PRUDEN JR,Food Establishments,38.932869,-76.913926
29,AMERICAN LEGION POST 248,Private Club,TEMPLE HILLS,MD,20748.0,5600 JANICE LN,------,RICHARD KELSHAW IV,Food Establishments,38.812465,-76.951352
30,AMERICAN LEGION POST 259,Private Club,CLINTON,MD,20735.0,9122 PISCATAWAY RD,------,MURRAY HALL,Food Establishments,38.76484,-76.900731
31,AMERICAN LEGION POST 275,Private Club,LANHAM-SEABROOK,MD,20706.0,8201 MARTIN LUTHER KING JR HWY,------,JOHN NIXON,Food Establishments,38.934191,-76.864207
32,AMERICAN LEGION POST 60,Private Club,LAUREL,MD,20707.0,2 MAIN ST,------,SHIRLY LEE LUBY,Food Establishments,39.101586,-76.840287
33,AMERICAN RESCUE WORKERS,Group Home,CAPITOL HEIGHTS,MD,20743.0,716 RITCHIE RD,------,BYRON MARTIN,Food Establishments,38.878272,-76.858227
34,AMERICA'S BEST BISTRO,Fast Food - Local,TEMPLE HILLS,MD,20748.0,4277 BRANCH AVE,------,KABIR PATWARY,Food Establishments,38.833224,-76.941646
35,AMERICA'S BEST WINGS,Fast Food - Chain,LANDOVER,MD,20785.0,7007 MARTIN LUTHER KING JR HWY,------,MOHAMMAD PATWARY,Food Establishments,38.914974,-76.88486
36,AMERICA'S BEST WINGS,Fast Food - Chain,GREENBELT,MD,20770.0,8841 GREENBELT RD,------,KABIR PATWARY,Food Establishments,38.990913,-76.852711
37,AMERICA'S BEST WINGS,Fast Food - Chain,LANHAM,MD,20706.0,9435 ANNAPOLIS RD,------,JOHN YU,Food Establishments,38.965009,-76.843502
